run,family,n,tau,p_measure,eligible_rows,eligible_trajectories,cell_weight,D_over_D_minus_1
primary_rank4,haar_z,14,8.0,0.08,12,12,0.16666666666666666,1.0078740157480315
primary_rank4,haar_z,14,8.0,0.24,12,12,0.16666666666666666,1.0078740157480315
independent_seed_rank4,clifford_z,10,6.0,0.08,8,8,0.25,1.032258064516129
independent_seed_rank4,clifford_z,10,6.0,0.24,3,3,0.25,1.032258064516129
independent_seed_rank4,clifford_z,10,8.0,0.08,7,7,0.25,1.032258064516129
independent_seed_rank4,clifford_z,10,8.0,0.24,4,4,0.25,1.032258064516129
independent_seed_rank4,clifford_z,12,8.0,0.08,8,8,0.25,1.0158730158730158
independent_seed_rank4,clifford_z,12,8.0,0.24,4,4,0.25,1.0158730158730158
independent_seed_rank4,clifford_z,14,6.0,0.08,8,8,0.25,1.0078740157480315
independent_seed_rank4,clifford_z,14,6.0,0.24,3,3,0.25,1.0078740157480315
independent_seed_rank4,floquet_cartan_z,10,6.0,0.08,8,8,0.16666666666666666,1.032258064516129
independent_seed_rank4,floquet_cartan_z,10,6.0,0.24,7,7,0.16666666666666666,1.032258064516129
independent_seed_rank4,floquet_cartan_z,10,8.0,0.08,8,8,0.16666666666666666,1.032258064516129
independent_seed_rank4,floquet_cartan_z,10,8.0,0.24,7,7,0.16666666666666666,1.032258064516129
independent_seed_rank4,floquet_cartan_z,12,6.0,0.08,8,8,0.16666666666666666,1.0158730158730158
independent_seed_rank4,floquet_cartan_z,12,6.0,0.24,8,8,0.16666666666666666,1.0158730158730158
independent_seed_rank4,floquet_cartan_z,12,8.0,0.08,8,8,0.16666666666666666,1.0158730158730158
independent_seed_rank4,floquet_cartan_z,12,8.0,0.24,8,8,0.16666666666666666,1.0158730158730158
independent_seed_rank4,floquet_cartan_z,14,6.0,0.08,8,8,0.16666666666666666,1.0078740157480315
independent_seed_rank4,floquet_cartan_z,14,6.0,0.24,8,8,0.16666666666666666,1.0078740157480315
independent_seed_rank4,floquet_cartan_z,14,8.0,0.08,8,8,0.16666666666666666,1.0078740157480315
independent_seed_rank4,floquet_cartan_z,14,8.0,0.24,8,8,0.16666666666666666,1.0078740157480315
independent_seed_rank4,haar_random_pauli,10,6.0,0.08,8,8,0.16666666666666666,1.032258064516129
independent_seed_rank4,haar_random_pauli,10,6.0,0.24,8,8,0.16666666666666666,1.032258064516129
independent_seed_rank4,haar_random_pauli,10,8.0,0.08,8,8,0.16666666666666666,1.032258064516129
independent_seed_rank4,haar_random_pauli,10,8.0,0.24,8,8,0.16666666666666666,1.032258064516129
independent_seed_rank4,haar_random_pauli,12,6.0,0.08,8,8,0.16666666666666666,1.0158730158730158
independent_seed_rank4,haar_random_pauli,12,6.0,0.24,8,8,0.16666666666666666,1.0158730158730158
independent_seed_rank4,haar_random_pauli,12,8.0,0.08,8,8,0.16666666666666666,1.0158730158730158
independent_seed_rank4,haar_random_pauli,12,8.0,0.24,8,8,0.16666666666666666,1.0158730158730158
independent_seed_rank4,haar_random_pauli,14,6.0,0.08,8,8,0.16666666666666666,1.0078740157480315
independent_seed_rank4,haar_random_pauli,14,6.0,0.24,8,8,0.16666666666666666,1.0078740157480315
independent_seed_rank4,haar_random_pauli,14,8.0,0.08,8,8,0.16666666666666666,1.0078740157480315
independent_seed_rank4,haar_random_pauli,14,8.0,0.24,8,8,0.16666666666666666,1.0078740157480315
independent_seed_rank4,haar_weak_z_eta06,10,6.0,0.08,8,8,0.16666666666666666,1.032258064516129
independent_seed_rank4,haar_weak_z_eta06,10,6.0,0.24,8,8,0.16666666666666666,1.032258064516129
independent_seed_rank4,haar_weak_z_eta06,10,8.0,0.08,8,8,0.16666666666666666,1.032258064516129
independent_seed_rank4,haar_weak_z_eta06,10,8.0,0.24,8,8,0.16666666666666666,1.032258064516129
independent_seed_rank4,haar_weak_z_eta06,12,6.0,0.08,8,8,0.16666666666666666,1.0158730158730158
independent_seed_rank4,haar_weak_z_eta06,12,6.0,0.24,8,8,0.16666666666666666,1.0158730158730158
independent_seed_rank4,haar_weak_z_eta06,12,8.0,0.08,8,8,0.16666666666666666,1.0158730158730158
independent_seed_rank4,haar_weak_z_eta06,12,8.0,0.24,8,8,0.16666666666666666,1.0158730158730158
independent_seed_rank4,haar_weak_z_eta06,14,6.0,0.08,8,8,0.16666666666666666,1.0078740157480315
independent_seed_rank4,haar_weak_z_eta06,14,6.0,0.24,8,8,0.16666666666666666,1.0078740157480315
independent_seed_rank4,haar_weak_z_eta06,14,8.0,0.08,8,8,0.16666666666666666,1.0078740157480315
independent_seed_rank4,haar_weak_z_eta06,14,8.0,0.24,8,8,0.16666666666666666,1.0078740157480315
independent_seed_rank4,haar_z,10,6.0,0.08,8,8,0.16666666666666666,1.032258064516129
independent_seed_rank4,haar_z,10,6.0,0.24,7,7,0.16666666666666666,1.032258064516129
independent_seed_rank4,haar_z,10,8.0,0.08,8,8,0.16666666666666666,1.032258064516129
independent_seed_rank4,haar_z,10,8.0,0.24,8,8,0.16666666666666666,1.032258064516129
independent_seed_rank4,haar_z,12,6.0,0.08,8,8,0.16666666666666666,1.0158730158730158
independent_seed_rank4,haar_z,12,6.0,0.24,8,8,0.16666666666666666,1.0158730158730158
independent_seed_rank4,haar_z,12,8.0,0.08,8,8,0.16666666666666666,1.0158730158730158
independent_seed_rank4,haar_z,12,8.0,0.24,8,8,0.16666666666666666,1.0158730158730158
independent_seed_rank4,haar_z,14,6.0,0.08,8,8,0.16666666666666666,1.0078740157480315
independent_seed_rank4,haar_z,14,6.0,0.24,8,8,0.16666666666666666,1.0078740157480315
independent_seed_rank4,haar_z,14,8.0,0.08,8,8,0.16666666666666666,1.0078740157480315
independent_seed_rank4,haar_z,14,8.0,0.24,8,8,0.16666666666666666,1.0078740157480315
